ticker
AA
AAOI
AAON
ADP
AMD
AMT
ANF
APH
AU
AZEK
BLDR
BLFS
BOOT
CAVA
CEG
CELH
CLS
CNM
CRWD
CSL
DASH
DELL
DKNG
DOGZ
DRS
EAT
ELF
ERJ
FICO
FRPT
FTAI
FTI
GCT
GDDY
HCA
INOD
KKR
KLAC
KMI
MNDY
MOD
MPWR
MSTR
MTZ
NFLX
NGVC
NRIX
NTRA
NVDA
ONON
PHIN
PLTR
PRCT
QCOM
SFM
SG
SHAK
SMLR
STRL
TCOM
TRGP
TWST
V
VITL
VKTX
VRT
VST
WSM
YPF
Z
ZETA
