ticker,date,close
CAT,2024-10-03 00:00:00,397.09
CAT,2024-10-06 00:00:00,398.25
CAT,2024-10-07 00:00:00,387.96
CAT,2024-10-08 00:00:00,396.19
CAT,2024-10-09 00:00:00,396.64
CAT,2024-10-10 00:00:00,402.02
CAT,2024-10-13 00:00:00,393.95
CAT,2024-10-14 00:00:00,387.99
CB,2024-10-01 00:00:00,291.33
CB,2024-10-02 00:00:00,288.54
CB,2024-10-03 00:00:00,290.59
CB,2024-10-06 00:00:00,277.18
CB,2024-10-07 00:00:00,279.96
CB,2024-10-08 00:00:00,282.83
CB,2024-10-09 00:00:00,284.7
CB,2024-10-10 00:00:00,286.83
CB,2024-10-13 00:00:00,288.71
CB,2024-10-14 00:00:00,287.4
CMCSA,2024-10-01 00:00:00,41.3
CMCSA,2024-10-02 00:00:00,40.81
CMCSA,2024-10-03 00:00:00,41.19
CMCSA,2024-10-06 00:00:00,40.56
CMCSA,2024-10-07 00:00:00,40.95
CMCSA,2024-10-08 00:00:00,41.4
CMCSA,2024-10-09 00:00:00,41.1
CMCSA,2024-10-10 00:00:00,41.26
CMCSA,2024-10-13 00:00:00,41.97
CMCSA,2024-10-14 00:00:00,42.11
CVX,2024-10-01 00:00:00,150.95
CVX,2024-10-02 00:00:00,151.25
CVX,2024-10-03 00:00:00,150.74
CVX,2024-10-06 00:00:00,151.12
CVX,2024-10-07 00:00:00,148.75
CVX,2024-10-08 00:00:00,149.65
CVX,2024-10-09 00:00:00,150.62
CVX,2024-10-10 00:00:00,151.42
CVX,2024-10-13 00:00:00,151.78
CVX,2024-10-14 00:00:00,147.73
DIS,2024-10-01 00:00:00,94.15
DIS,2024-10-02 00:00:00,93.63
DIS,2024-10-03 00:00:00,95.15
DIS,2024-10-06 00:00:00,92.39
DIS,2024-10-07 00:00:00,92.51
DIS,2024-10-08 00:00:00,93.6
DIS,2024-10-09 00:00:00,92.99
DIS,2024-10-10 00:00:00,94.13
DIS,2024-10-13 00:00:00,94.97
DIS,2024-10-14 00:00:00,94.22
DRI,2024-10-01 00:00:00,162.7
DRI,2024-10-02 00:00:00,161.84
DRI,2024-10-03 00:00:00,164.84
DRI,2024-10-06 00:00:00,159.55
DRI,2024-10-07 00:00:00,159.13
DRI,2024-10-08 00:00:00,158.56
DRI,2024-10-09 00:00:00,155.93
DRI,2024-10-10 00:00:00,156.72
DRI,2024-10-13 00:00:00,156.94
DRI,2024-10-14 00:00:00,160.14
ELV,2024-10-01 00:00:00,505.16
ELV,2024-10-02 00:00:00,498.25
ELV,2024-10-03 00:00:00,492.07
ELV,2024-10-06 00:00:00,492.02
ELV,2024-10-07 00:00:00,489.47
ELV,2024-10-08 00:00:00,493.51
ELV,2024-10-09 00:00:00,492.18
ELV,2024-10-10 00:00:00,501.88
ELV,2024-10-13 00:00:00,509.02
ELV,2024-10-14 00:00:00,483.87
FAST,2024-10-01 00:00:00,71.38
FAST,2024-10-02 00:00:00,70.71
FAST,2024-10-03 00:00:00,70.18
FAST,2024-10-06 00:00:00,70.0
FAST,2024-10-07 00:00:00,70.17
FAST,2024-10-08 00:00:00,70.61
FAST,2024-10-09 00:00:00,69.99
FAST,2024-10-10 00:00:00,76.82
FAST,2024-10-13 00:00:00,76.69
FAST,2024-10-14 00:00:00,76.91
GILD,2024-10-01 00:00:00,84.74
GILD,2024-10-02 00:00:00,84.17
GILD,2024-10-03 00:00:00,84.59
GILD,2024-10-06 00:00:00,84.43
GILD,2024-10-07 00:00:00,85.21
GILD,2024-10-08 00:00:00,86.14
GILD,2024-10-09 00:00:00,84.67
GILD,2024-10-10 00:00:00,84.95
GILD,2024-10-13 00:00:00,85.05
GILD,2024-10-14 00:00:00,85.82
GOOG,2024-10-01 00:00:00,167.31
GOOG,2024-10-02 00:00:00,167.21
GOOG,2024-10-03 00:00:00,168.56
GOOG,2024-10-06 00:00:00,164.39
