ticker,date,close
DELL,2023-05-29 00:00:00,47.32
DELL,2023-05-30 00:00:00,44.81
DELL,2023-05-31 00:00:00,45.46
DELL,2023-06-01 00:00:00,47.27
DELL,2023-06-04 00:00:00,45.48
DELL,2023-06-05 00:00:00,46.85
DELL,2023-06-06 00:00:00,47.66
DELL,2023-06-07 00:00:00,47.89
DELL,2023-06-08 00:00:00,47.61
DELL,2023-06-11 00:00:00,48.07
DELL,2023-06-12 00:00:00,48.8
DELL,2023-06-13 00:00:00,49.38
DELL,2023-06-14 00:00:00,50.2
DELL,2023-06-15 00:00:00,49.67
DELL,2023-06-19 00:00:00,49.33
DELL,2023-06-20 00:00:00,50.06
DELL,2023-06-21 00:00:00,51.28
DELL,2023-06-22 00:00:00,50.87
DELL,2023-06-25 00:00:00,51.32
DELL,2023-06-26 00:00:00,51.39
DELL,2023-06-27 00:00:00,51.77
DELL,2023-06-28 00:00:00,53.1
DELL,2023-06-29 00:00:00,54.11
DELL,2023-07-02 00:00:00,54.61
DELL,2023-07-04 00:00:00,54.21
DELL,2023-07-05 00:00:00,53.8
DELL,2023-07-06 00:00:00,53.53
DELL,2023-07-09 00:00:00,54.87
DELL,2023-07-10 00:00:00,55.74
DELL,2023-07-11 00:00:00,54.17
DELL,2023-07-12 00:00:00,55.64
DELL,2023-07-13 00:00:00,55.42
DELL,2023-07-16 00:00:00,54.7
DELL,2023-07-17 00:00:00,53.83
DELL,2023-07-18 00:00:00,54.3
DELL,2023-07-19 00:00:00,53.6
DELL,2023-07-20 00:00:00,53.56
DELL,2023-07-23 00:00:00,53.73
DELL,2023-07-24 00:00:00,54.37
DELL,2023-07-25 00:00:00,53.92
DELL,2023-07-26 00:00:00,53.71
DELL,2023-07-27 00:00:00,52.61
DELL,2023-07-30 00:00:00,52.92
DELL,2023-07-31 00:00:00,53.37
DELL,2023-08-01 00:00:00,52.95
DELL,2023-08-02 00:00:00,53.51
DELL,2023-08-03 00:00:00,53.24
DELL,2023-08-06 00:00:00,54.57
DELL,2023-08-07 00:00:00,57.58
DELL,2023-08-08 00:00:00,56.57
DELL,2023-08-09 00:00:00,56.0
DELL,2023-08-10 00:00:00,56.84
DELL,2023-08-13 00:00:00,56.76
DELL,2023-08-14 00:00:00,55.73
DELL,2023-08-15 00:00:00,55.22
DELL,2023-08-16 00:00:00,54.86
DELL,2023-08-17 00:00:00,54.93
DELL,2023-08-20 00:00:00,56.05
DELL,2023-08-21 00:00:00,55.8
DELL,2023-08-22 00:00:00,56.83
DELL,2023-08-23 00:00:00,56.71
DELL,2023-08-24 00:00:00,56.21
DELL,2023-08-27 00:00:00,57.19
DELL,2023-08-28 00:00:00,56.5
DELL,2023-08-29 00:00:00,55.69
DELL,2023-08-30 00:00:00,56.24
DELL,2023-08-31 00:00:00,68.19
DELL,2023-09-04 00:00:00,68.1
DELL,2023-09-05 00:00:00,70.47
DELL,2023-09-06 00:00:00,68.98
DELL,2023-09-07 00:00:00,70.5
DELL,2023-09-10 00:00:00,72.16
DELL,2023-09-11 00:00:00,70.73
DELL,2023-09-12 00:00:00,70.45
DELL,2023-09-13 00:00:00,71.16
DELL,2023-09-14 00:00:00,69.29
DELL,2023-09-17 00:00:00,69.15
DELL,2023-09-18 00:00:00,69.9
DELL,2023-09-19 00:00:00,68.94
DELL,2023-09-20 00:00:00,68.44
DELL,2023-09-21 00:00:00,70.05
DELL,2023-09-24 00:00:00,70.03
DELL,2023-09-25 00:00:00,68.93
DELL,2023-09-26 00:00:00,67.95
DELL,2023-09-27 00:00:00,68.5
DELL,2023-09-28 00:00:00,68.9
DELL,2023-10-01 00:00:00,67.7
DELL,2023-10-02 00:00:00,67.24
DELL,2023-10-03 00:00:00,67.2
DELL,2023-10-04 00:00:00,66.19
DELL,2023-10-05 00:00:00,66.41
DELL,2023-10-08 00:00:00,67.18
DELL,2023-10-09 00:00:00,67.98
DELL,2023-10-10 00:00:00,70.34
DELL,2023-10-11 00:00:00,69.05
DELL,2023-10-12 00:00:00,68.04
DELL,2023-10-15 00:00:00,67.76
DELL,2023-10-16 00:00:00,67.9
DELL,2023-10-17 00:00:00,66.89
DELL,2023-10-18 00:00:00,67.03
DELL,2023-10-19 00:00:00,65.91
DELL,2023-10-22 00:00:00,65.54
DELL,2023-10-23 00:00:00,66.95
DELL,2023-10-24 00:00:00,66.34
DELL,2023-10-25 00:00:00,64.51
DELL,2023-10-26 00:00:00,65.96
DELL,2023-10-29 00:00:00,66.43
DELL,2023-10-30 00:00:00,66.91
DELL,2023-10-31 00:00:00,68.67
DELL,2023-11-01 00:00:00,68.65
DELL,2023-11-02 00:00:00,69.51
DELL,2023-11-05 00:00:00,71.97
DELL,2023-11-06 00:00:00,71.61
DELL,2023-11-07 00:00:00,72.48
DELL,2023-11-08 00:00:00,72.24
DELL,2023-11-09 00:00:00,73.5
DELL,2023-11-12 00:00:00,73.77
DELL,2023-11-13 00:00:00,73.89
DELL,2023-11-14 00:00:00,72.94
DELL,2023-11-15 00:00:00,72.54
DELL,2023-11-16 00:00:00,73.6
DELL,2023-11-19 00:00:00,73.36
DELL,2023-11-20 00:00:00,73.62
DELL,2023-11-21 00:00:00,74.68
